GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
3.  Transport,25660.787203205105,9.43613156516435,1.80373977446659,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
4.  Other sectors,30010.55491299,53.565073821163,0.405697072258,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
5.  Other,56971.767,5.6427,0.3273,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,12035.628412804344,1113.3179752056162,0.08124359782615,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
1.  Solid fuels,1973.28536494908,357.11933107852,0.02696051778,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,10062.343047855264,756.1986441270961,0.05428308004615,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
B.  Chemical industry,411.6803,,0.6784,Summary1.As1,KAZAKHSTAN,2018,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14246.882,0.36349,,Summary1.As1,KAZAKHSTAN,2018,Subsector,2.  Industrial processes and product use,,,127.77904
D.  Non-energy products from fuels and solvent use ,161.764,,,Summary1.As1,KAZAKHSTAN,2018,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2018,Subsector,2.  Industrial processes and product use,2119.4987393635147,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2018,Subsector,2.  Industrial processes and product use,,9.439933e-05,
A. Fuel combustion     Reference approach(2),257554.7998106309,,,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
                                           Sectoral approach(2),241816.995463591,72.24952300814518,4.46031998701103,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
1.  Energy industries,123029.608,1.44288,1.608473,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,25380.51197,2.29259681,0.372382955,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
3.  Transport,26117.954639461,9.42720459437217,1.84438908208003,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
4.  Other sectors,38529.39885413,56.061641603773,0.430874949931,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
5.  Other,28759.522,3.0252,0.2042,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,10145.039336672957,1090.4491528985925,0.0628864272487,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
1.  Solid fuels,1922.2184239866451,346.586346719409,0.0262774791135,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,8222.820912686313,743.8628061791836,0.0366089481352,Summary1.As1,KAZAKHSTAN,2019,Subsector,1. Energy,,,
B.  Chemical industry,374.4062,,0.6538,Summary1.As1,KAZAKHSTAN,2019,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15353.247,0.4026,,Summary1.As1,KAZAKHSTAN,2019,Subsector,2.  Industrial processes and product use,,,12.66969
D.  Non-energy products from fuels and solvent use ,167.215,,,Summary1.As1,KAZAKHSTAN,2019,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2019,Subsector,2.  Industrial processes and product use,2258.3613396222704,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2019,Subsector,2.  Industrial processes and product use,,0.0001017,
A. Fuel combustion     Reference approach(2),232501.66540739988,,,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
                                           Sectoral approach(2),221810.71206592585,66.53539305484381,4.09463343384986,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
1.  Energy industries,123797.8637,1.68201,1.603671,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,26157.75978,2.2889766,0.3732046,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
3.  Transport,18751.885872625848,7.30598136764381,1.36577245199986,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
4.  Other sectors,30974.7637133,52.6951250872,0.46248538185,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
5.  Other,22128.439,2.5633,0.2895,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,9363.09748709595,1017.1123209172656,0.057749182801,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
1.  Solid fuels,1811.430317473074,330.09950900681304,0.0247564602195,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,7551.667169622877,687.0128119104526,0.0329927225815,Summary1.As1,KAZAKHSTAN,2020,Subsector,1. Energy,,,
B.  Chemical industry,390.2652,,0.6573,Summary1.As1,KAZAKHSTAN,2020,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15601.7297,0.43985,,Summary1.As1,KAZAKHSTAN,2020,Subsector,2.  Industrial processes and product use,,,10.75381
D.  Non-energy products from fuels and solvent use ,171.164,,,Summary1.As1,KAZAKHSTAN,2020,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2020,Subsector,2.  Industrial processes and product use,2529.750826065392,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2020,Subsector,2.  Industrial processes and product use,,0.0001011,
A. Fuel combustion     Reference approach(2),215003.14142534352,,,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
                                           Sectoral approach(2),219501.50139110148,29.6491336364748,4.05513366408498,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
1.  Energy industries,126100.308,1.825,1.6615,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,24156.424,1.7215716,0.2945311,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
3.  Transport,24448.44137830147,9.5775111287838,1.60604416360798,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
4.  Other sectors,42531.1480128,16.242450907691,0.472758400477,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
5.  Other,2265.18,0.2826,0.0203,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,11511.35867441358,1158.0164387783143,0.06569101429267,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
1.  Solid fuels,1978.547019782904,308.06051206464406,0.02706606396608,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,9532.811654630676,849.9559267136705,0.03862495032659,Summary1.As1,KAZAKHSTAN,2021,Subsector,1. Energy,,,
B.  Chemical industry,450.9997,,0.7691982,Summary1.As1,KAZAKHSTAN,2021,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14869.504,0.41335,,Summary1.As1,KAZAKHSTAN,2021,Subsector,2.  Industrial processes and product use,,,9.64584
D.  Non-energy products from fuels and solvent use ,178.824,,,Summary1.As1,KAZAKHSTAN,2021,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2021,Subsector,2.  Industrial processes and product use,2706.490723278512,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2021,Subsector,2.  Industrial processes and product use,,0.000104,
A.  Enteric fermentation,,1049.82,,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
B.  Manure management,,45.79646,14.09537,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,26.04,,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,38.64,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
H. Urea application,104.4,,,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
A. Forest land (4),-5508.860000000005,0.07,1.1534,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
B. Cropland (4),5201.900000000005,,,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
C. Grassland (4),-6562.63333333334,0.47,0.04,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
D. Wetlands (4),4.25333333333334,,,Summary1.As2,KAZAKHSTAN,1990,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,60.62,,Summary1.As2,KAZAKHSTAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,82.37,0.89,Summary1.As2,KAZAKHSTAN,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,1023.71,,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
B.  Manure management,,44.35333,13.52141,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,24.99,,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,51.22,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
H. Urea application,91.36,,,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
A. Forest land (4),-8199.913333333341,0.29,1.166,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
B. Cropland (4),12816.466666666678,,,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
C. Grassland (4),-11232.133333333344,0.47,0.04,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
D. Wetlands (4),1.46666666666667,,,Summary1.As2,KAZAKHSTAN,1991,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,63.68,,Summary1.As2,KAZAKHSTAN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,78.518,0.89,Summary1.As2,KAZAKHSTAN,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,1006.68,,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
B.  Manure management,,41.95594,12.7058,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,24.15,,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,70.34,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
H. Urea application,78.31,,,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
A. Forest land (4),-11037.566666666677,0.08,1.154,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
B. Cropland (4),20430.300000000017,,,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
C. Grassland (4),-15901.26666666668,0.47,0.04,Summary1.As2,KAZAKHSTAN,1992,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,71.352,0.91,Summary1.As2,KAZAKHSTAN,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,984.54,,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
B.  Manure management,,41.24347,12.29732,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,22.68,,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,80.16,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
H. Urea application,65.27,,,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
A. Forest land (4),-13815.320000000012,0.05,1.153,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
B. Cropland (4),28044.13333333336,,,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
C. Grassland (4),-20570.766666666685,0.47,0.04,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
D. Wetlands (4),1.1,,,Summary1.As2,KAZAKHSTAN,1993,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,68.79,,Summary1.As2,KAZAKHSTAN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,64.605,0.91,Summary1.As2,KAZAKHSTAN,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,770.44,,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
B.  Manure management,,34.35098,9.49938,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,21.42,,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,88.13,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
H. Urea application,52.23,,,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
A. Forest land (4),-7738.773333333341,0.31,3.337,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
B. Cropland (4),35657.966666666696,,,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
C. Grassland (4),-24578.600000000024,1.41,0.13,Summary1.As2,KAZAKHSTAN,1994,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,58.465,0.89,Summary1.As2,KAZAKHSTAN,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,664.67,,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
B.  Manure management,,29.34613,7.9405,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,17.66,,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,100.49,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
H. Urea application,39.19,,,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
A. Forest land (4),-1401.3666666666684,1.35,3.395,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
B. Cropland (4),43271.80000000004,,,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
C. Grassland (4),-25445.50000000003,6.84,0.62,Summary1.As2,KAZAKHSTAN,1995,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,54.84,0.88,Summary1.As2,KAZAKHSTAN,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,508.7,,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
B.  Manure management,,22.05499,5.87189,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,18.9,,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,113.02,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
H. Urea application,26.14,,,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
A. Forest land (4),4333.48666666667,0.59,3.353,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
B. Cropland (4),50885.63333333338,,,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
C. Grassland (4),-32925.600000000035,2.83,0.26,Summary1.As2,KAZAKHSTAN,1996,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,53.891,0.88,Summary1.As2,KAZAKHSTAN,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,416.82,,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
B.  Manure management,,18.24894,4.91952,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,17.43,,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,127.29,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
H. Urea application,13.1,,,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
A. Forest land (4),13980.556666666676,11.55,3.959,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
B. Cropland (4),58499.46666666672,,,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
C. Grassland (4),-31642.73333333337,11.32,1.03,Summary1.As2,KAZAKHSTAN,1997,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,52.393,0.86,Summary1.As2,KAZAKHSTAN,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,393.38,,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
B.  Manure management,,17.5895,4.71632,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,15.41,,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,142.42,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
H. Urea application,0.06,,,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
A. Forest land (4),16376.066666666682,0.78,3.363,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
B. Cropland (4),66113.30000000006,,,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
C. Grassland (4),-41437.53333333338,4.01,0.37,Summary1.As2,KAZAKHSTAN,1998,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,51.512,0.84,Summary1.As2,KAZAKHSTAN,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,416.66,,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
B.  Manure management,,18.48006,5.06011,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,14.91,,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,160.53,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
H. Urea application,0.17,,,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
A. Forest land (4),10240.783333333342,1.3,1.262,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
B. Cropland (4),73727.1333333334,,,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
C. Grassland (4),-44122.76666666672,6.84,0.62,Summary1.As2,KAZAKHSTAN,1999,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,50.743,0.83,Summary1.As2,KAZAKHSTAN,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,424.05,,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
B.  Manure management,,19.37127,5.23096,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,15.14,,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,193.28,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
H. Urea application,0.08,,,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
A. Forest land (4),3773.9166666666697,0.82,1.235,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
B. Cropland (4),88936.61333333341,,,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
C. Grassland (4),-50610.50000000005,4.24,0.39,Summary1.As2,KAZAKHSTAN,2000,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,51.435,0.83,Summary1.As2,KAZAKHSTAN,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,434.13,,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
B.  Manure management,,19.97239,5.38352,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,14.53,,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,170.44,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
H. Urea application,0.07,,,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
A. Forest land (4),-2399.0066666666694,1.21,1.257,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
B. Cropland (4),102719.06333333344,,,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
C. Grassland (4),-44037.23333333338,6.13,0.56,Summary1.As2,KAZAKHSTAN,2001,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,53.43,0.82,Summary1.As2,KAZAKHSTAN,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,462.58,,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
B.  Manure management,,21.33422,5.77735,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,14.28,,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,147.58,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
H. Urea application,0.06,,,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
A. Forest land (4),-8786.133333333342,0.97,1.244,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
B. Cropland (4),107482.57666666676,,,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
C. Grassland (4),-39718.9666666667,4.8,0.44,Summary1.As2,KAZAKHSTAN,2002,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,50.682,0.83,Summary1.As2,KAZAKHSTAN,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,493.03,,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
B.  Manure management,,22.98342,6.24778,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,17.56,,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,124.66,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
H. Urea application,0.06,,,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
A. Forest land (4),-14677.430000000017,2.22,1.313,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
B. Cropland (4),112246.0900000001,,,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
C. Grassland (4),-29898.500000000036,11.32,1.03,Summary1.As2,KAZAKHSTAN,2003,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,50.207,0.85,Summary1.As2,KAZAKHSTAN,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,526.76,,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
B.  Manure management,,23.60242,6.47062,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,16.95,,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,101.59,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
H. Urea application,0.24,,,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
A. Forest land (4),-14130.310000000014,2.95,0.343,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
B. Cropland (4),117009.60333333343,,,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
C. Grassland (4),-30107.133333333364,3.54,0.32,Summary1.As2,KAZAKHSTAN,2004,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,52.15,0.86,Summary1.As2,KAZAKHSTAN,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,552.47,,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
B.  Manure management,,24.26741,6.71857,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,17.83,,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,78.68,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
H. Urea application,0.25,,,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
A. Forest land (4),-14532.50666666668,0.85,0.227,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
B. Cropland (4),121773.11666666676,,,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
C. Grassland (4),-24389.13333333336,4.2,0.38,Summary1.As2,KAZAKHSTAN,2005,Subsector,3.  Agriculture,,,
D.  Wastewater treatment and discharge,,53.564,0.87,Summary1.As2,KAZAKHSTAN,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,579.9,,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
B.  Manure management,,25.36657,6.9839,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,18.4,,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,56.06,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
H. Urea application,0.13,,,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
A. Forest land (4),-14032.093333333349,1.44,0.26,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
B. Cropland (4),126506.49000000012,,,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
C. Grassland (4),-16672.10000000002,7.71,0.7,Summary1.As2,KAZAKHSTAN,2006,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),0.004,2.82e-06,2.82e-06,Summary1.As2,KAZAKHSTAN,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,57.859,0.9,Summary1.As2,KAZAKHSTAN,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,600.23,,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
B.  Manure management,,26.11638,7.25729,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,18.35,,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,54.52,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
H. Urea application,0.15,,,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
A. Forest land (4),-12723.26666666668,4.46,0.427,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
